gid,seas,wk,day,v,h,stad,temp,humd,wspd,wdir,cond,surf,ou,sprv,ptsv,ptsh
3402,2012,15,SUN,MIN,STL,Edward Jones Dome,,,,,Dome,AstroTurf,38.5,2.5,36,22
3403,2012,15,SUN,DEN,BAL,M&T Bank Stadium,53,74,7,SSE,Cloudy,MomentumTurf,48,-3,34,17
3404,2012,15,SUN,TB,NO,Mercedes-Benz Superdome,74,,,,Dome,UBU Speed Series S5M,54,3.5,0,41
3405,2012,15,SUN,IND,HOU,Reliant Stadium,,,,,Closed Roof,Grass,47.5,10,17,29
3406,2012,15,SUN,SEA,BUF,Rogers Centre,,,,,Closed Roof,Artificial Turf,43,-5.5,50,17
3407,2012,15,SUN,DET,ARI,University of Phoenix Stadium,57,52,3,NW,Sunny,Grass,43.5,-6.5,10,38
3408,2012,15,SUN,CAR,SD,Qualcomm Stadium,59,64,6,SSE,Cloudy,Grass,44.5,3,31,7
3409,2012,15,SUN,PIT,DAL,Cowboys Stadium,,,,,Closed Roof,AstroTurf,45,-2,24,27
3410,2012,15,SUN,KC,OAK,Oakland-Alameda County Coliseum,54,77,2,S,Cloudy,Grass,44,3,0,15
3411,2012,15,SN,SF,NE,Gillette Stadium,34,100,5,ENE,Rain,FieldTurf,46.5,4,41,34
3412,2012,15,MN,NYJ,TEN,LP Field,54,83,10,WNW,Cloudy,Grass,41.5,1.5,10,14
3413,2012,16,SAT,ATL,DET,Ford Field,,,,,Dome,FieldTurf,50,-3.5,31,18
3414,2012,16,SUN,STL,TB,Raymond James Stadium,59,28,8,ESE,Cloudy,Grass,44,3,28,13
3415,2012,16,SUN,IND,KC,Arrowhead Stadium,25,74,7,N,Sunny,Grass,41.5,-7,20,13
3416,2012,16,SUN,NO,DAL,Cowboys Stadium,,,,,Closed Roof,AstroTurf,52,2.5,34,31
3417,2012,16,SUN,SD,NYJ,Metlife Stadium,39,54,13,W,Sunny,FieldTurf,37.5,2.5,27,17
3418,2012,16,SUN,BUF,MIA,Sun Life Stadium,73,47,8,E,Sunny,Grass,41.5,4.5,10,24
3419,2012,16,SUN,WAS,PHI,Lincoln Financial Field,40,52,11,WSW,Sunny,Grass,45,-6.5,27,20
3420,2012,16,SUN,NE,JAC,EverBank Field,58,,0,CALM,Clear,Grass,50.5,-14,23,16
3421,2012,16,SUN,TEN,GB,Lambeau Field,24,68,9,NW,Mostly Sunny,DD GrassMaster,44.5,12.5,7,55
3422,2012,16,SUN,OAK,CAR,Bank of America Stadium,53,43,3,NW,Cloudy,Grass,46.5,8.5,6,17
3423,2012,16,SUN,NYG,BAL,M&T Bank Stadium,51,33,7,SW,Sunny,MomentumTurf,47,-2.5,14,33
3424,2012,16,SUN,CIN,PIT,Heinz Field,35,56,10,SW,Sunny,Grass,42,3,13,10
3425,2012,16,SUN,MIN,HOU,Reliant Stadium,,,,,Closed Roof,Grass,45,8,23,6
3426,2012,16,SUN,CLE,DEN,Sports Authority Field at Mile High,51,22,15,SW,Partly Cloudy,Grass,44,12,12,34
3427,2012,16,SUN,CHI,ARI,University of Phoenix Stadium,,,,,Closed Roof,Grass,36.5,-6,28,13
3428,2012,16,SN,SF,SEA,CenturyLink Field,45,76,3,N,Rain,FieldTurf,39,1,13,42
3429,2012,17,SUN,BAL,CIN,Paul Brown Stadium,26,72,8,SW,Partly Cloudy,UBU Speed Series S5M,41,2.5,17,23
3430,2012,17,SUN,NYJ,BUF,Ralph Wilson Stadium,28,53,18,NW,Mostly Sunny,A Turf Titan,39,3.5,9,28
3431,2012,17,SUN,HOU,IND,Lucas Oil Stadium,,,,,Closed Roof,AstroTurf,46.5,-6.5,16,28
